P1 wins, P2 wins, Draws, TOTAL TIME P1, TOTAL TIME P2, TOTAL MOVES, TOTAL MOVES P1, TOTAL MOVES P2
0, 1, 0, 1.85388518E8, 2.97801231E8, 18, 9, 9
0, 1, 0, 1.82017479E8, 2.99272275E8, 18, 9, 9
1, 0, 0, 2.85629088E8, 4.96083743E8, 35, 18, 17
0, 1, 0, 2.13628685E8, 3.49647584E8, 22, 11, 11
0, 1, 0, 2.43845658E8, 4.33823871E8, 26, 13, 13
0, 1, 0, 3.2074409E8, 5.98268637E8, 42, 21, 21
0, 1, 0, 2.41331835E8, 4.56963337E8, 28, 14, 14
0, 1, 0, 2.88278485E8, 4.74388378E8, 38, 19, 19
0, 1, 0, 3.51936626E8, 5.79308949E8, 40, 20, 20
0, 1, 0, 2.94228081E8, 5.10563019E8, 32, 16, 16
0, 1, 0, 1.86282138E8, 2.92661983E8, 18, 9, 9
0, 1, 0, 2.1710006E8, 3.37000023E8, 20, 10, 10
0, 1, 0, 2.08275766E8, 3.35409466E8, 20, 10, 10
0, 1, 0, 2.36205885E8, 3.82116591E8, 24, 12, 12
0, 1, 0, 2.12094778E8, 3.53391342E8, 24, 12, 12
0, 1, 0, 2.0706256E8, 3.84464933E8, 22, 11, 11
1, 0, 0, 3.11207455E8, 5.06304307E8, 35, 18, 17
0, 1, 0, 3.51747059E8, 5.93443474E8, 42, 21, 21
0, 1, 0, 2.26176447E8, 3.55910865E8, 22, 11, 11
0, 1, 0, 3.04089818E8, 5.30803907E8, 36, 18, 18
0, 1, 0, 1.7160693E8, 2.61321418E8, 16, 8, 8
0, 1, 0, 1.56140177E8, 2.39485859E8, 14, 7, 7
0, 1, 0, 1.85469446E8, 2.92701925E8, 18, 9, 9
1, 0, 0, 2.75038011E8, 4.82250782E8, 39, 20, 19
0, 1, 0, 1.92753188E8, 2.92531004E8, 18, 9, 9
0, 1, 0, 2.06345924E8, 3.44660265E8, 20, 10, 10
1, 0, 0, 3.08432722E8, 5.59089977E8, 39, 20, 19
0, 1, 0, 1.505052E8, 2.11880656E8, 14, 7, 7
1, 0, 0, 1.79605323E8, 2.7420517E8, 19, 10, 9
1, 0, 0, 3.1068065E8, 5.50697783E8, 39, 20, 19
0, 1, 0, 1.84988663E8, 2.77573216E8, 18, 9, 9
0, 1, 0, 2.96413083E8, 5.38233245E8, 38, 19, 19
0, 1, 0, 2.94866055E8, 4.98421612E8, 36, 18, 18
0, 1, 0, 2.69893585E8, 4.77829598E8, 30, 15, 15
1, 0, 0, 3.47099996E8, 6.04083261E8, 41, 21, 20
0, 1, 0, 1.67878399E8, 2.67989427E8, 18, 9, 9
0, 1, 0, 1.74016311E8, 2.74092511E8, 16, 8, 8
1, 0, 0, 2.96594025E8, 4.95375944E8, 31, 16, 15
0, 1, 0, 1.9882115E8, 2.99965176E8, 18, 9, 9
